Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2019-01-02;11.692;11.692;10.602;10.702;3638
2019-01-03;11.692;11.692;10.702;10.702;12205
2019-01-04;11.048;11.048;10.602;10.702;6122
2019-01-07;11.692;11.692;10.702;11.395;11788
2019-01-08;11.692;11.692;10.751;11.643;6851
2019-01-09;11.643;13.327;11.643;13.278;18317
2019-01-10;13.228;13.426;12.832;13.179;21535
2019-01-11;13.179;13.674;12.931;13.476;14523
2019-01-14;13.179;13.773;13.179;13.476;105907
2019-01-15;13.476;13.476;13.08;13.426;42994
2019-01-16;13.377;13.426;13.08;13.426;875
2019-01-17;13.625;13.872;13.129;13.575;5278
2019-01-18;13.625;13.625;13.179;13.526;1892
2019-01-21;13.526;13.526;12.683;13.377;75492
2019-01-22;13.377;13.377;12.782;12.782;1154
2019-01-23;13.327;13.327;12.931;13.228;835
2019-01-24;13.228;13.278;12.881;13.278;1405
2019-01-25;13.278;13.377;12.881;13.377;2465
2019-01-28;13.377;13.377;12.881;13.327;529
2019-01-29;13.327;13.377;12.881;13.377;1107
2019-01-30;13.377;13.377;12.881;13.08;2140
2019-01-31;13.129;13.278;12.881;13.278;1561
2019-02-01;13.278;13.278;12.881;13.129;555
2019-02-04;13.129;13.327;13.03;13.179;1957
2019-02-05;13.327;13.327;12.981;13.179;396
2019-02-06;13.327;13.327;12.981;13.278;3009
2019-02-07;13.327;13.327;12.981;13.278;202
2019-02-08;13.228;13.228;12.981;13.228;230
2019-02-11;13.228;13.278;13.03;13.278;2410
2019-02-12;13.377;13.971;13.377;13.575;2434
2019-02-13;13.872;13.872;13.426;13.674;576
2019-02-14;13.823;14.021;13.526;14.021;3382
2019-02-15;14.021;14.814;14.021;14.665;4001
2019-02-18;14.665;14.814;14.665;14.715;1495
2019-02-19;14.814;14.814;14.17;14.368;1900
2019-02-20;14.764;14.764;14.17;14.17;839
2019-02-21;14.566;14.566;14.071;14.071;1077
2019-02-22;14.269;14.417;14.12;14.12;445
2019-02-25;14.467;14.467;13.922;13.971;1579
2019-02-26;14.269;14.269;14.021;14.269;787
2019-02-27;14.269;14.269;13.922;13.922;879
2019-02-28;14.467;14.467;13.922;14.12;883
2019-03-01;14.17;14.17;13.922;14.021;2008
2019-03-04;14.17;14.17;13.971;14.17;656
2019-03-05;14.368;14.368;13.575;13.922;2210
2019-03-06;14.021;14.021;13.773;14.021;740
2019-03-07;14.021;14.021;14.021;14.021;5
2019-03-08;14.12;14.12;13.773;13.872;1675
2019-03-11;14.12;14.12;13.724;13.872;836
2019-03-12;14.12;14.12;13.228;13.228;1832
2019-03-13;13.575;13.575;12.981;12.981;2867
2019-03-14;13.129;13.129;12.634;12.683;8517
2019-03-15;12.832;13.872;12.782;13.179;2659
2019-03-18;13.179;13.724;12.336;12.386;19175
2019-03-19;12.336;12.535;12.336;12.535;3182
2019-03-20;12.931;12.931;12.584;12.584;1843
2019-03-21;12.584;12.733;12.584;12.733;207228
2019-03-22;12.931;12.931;12.782;12.832;1953
2019-03-25;12.782;12.881;12.336;12.832;2866
2019-03-26;12.683;12.683;11.593;12.683;28054
2019-03-27;12.683;12.832;12.386;12.485;3151
2019-03-28;12.584;12.584;11.395;11.395;32142
2019-03-29;11.692;11.692;10.355;10.454;49311
2019-04-01;10.801;10.801;10.147;10.682;41528
2019-04-02;11.177;11.177;10.365;10.702;14194
2019-04-03;10.88;10.999;10.702;10.999;12567
2019-04-04;10.999;11.098;10.503;10.503;14991
2019-04-05;10.503;10.781;10.305;10.781;6850
2019-04-08;10.702;10.702;10.305;10.563;4903
2019-04-09;10.801;10.801;10.404;10.404;1689
2019-04-10;10.404;10.404;10.345;10.404;1447
2019-04-11;10.503;10.503;10.345;10.503;1218
2019-04-12;10.503;10.702;10.503;10.702;1072
2019-04-15;10.206;10.206;8.5216;8.6702;85377
2019-04-16;8.8089;9.1161;7.4812;7.5307;143277
2019-04-17;7.719;7.8874;6.9857;7.0055;110913
2019-04-18;7.4316;7.4316;6.6984;6.738;120085
2019-04-23;6.7875;7.1046;6.7677;7.0749;88678
2019-04-24;7.1641;7.5902;7.1046;7.4217;56238
2019-04-25;7.4316;7.5802;7.2334;7.2929;24945
2019-04-26;7.3821;7.3821;6.8371;6.8371;19639
2019-04-29;6.8371;7.0848;6.8371;6.9362;13245
2019-04-30;6.9362;6.9362;6.738;6.7875;14213
2019-05-02;6.9064;6.9064;6.6587;6.6587;7002
2019-05-06;6.6488;6.8272;6.3416;6.8272;9541
2019-05-07;6.5497;6.8371;6.5497;6.738;3962
2019-05-08;6.8074;6.8272;6.2525;6.5101;12393
2019-05-09;6.5398;6.5398;6.3317;6.3317;8018
2019-05-10;6.5299;6.5299;6.1831;6.2128;11591
2019-05-13;6.52;6.52;5.8759;5.9156;30709
2019-05-14;5.8462;6.302;5.8462;5.9453;10806
2019-05-15;6.0444;6.2227;5.6976;5.7075;19522
2019-05-16;5.7669;5.9255;5.2814;5.4994;28546
